Ground Name,City,Country,Batting First Elo Boost,Adj 1st Innings Score,Adj 2nd Innings Score,Matches Completed,Batting First Wins,Batting Second Wins,Batting First Win %,Batting Second Win %
Bourda,Georgetown,West Indies,-0.21871015228148866,254.3585986282168,245.13243949791033,11,3,8,0.2727272727272727,0.7272727272727273
Manuka Oval,Canberra,Australia,1.7093263811362633,342.53999490591946,272.816991094603,10,8,2,0.8,0.2
Khettarama Stadium,Colombo,Sri Lanka,0.6626230300986913,222.90059051118033,194.71762891746835,10,6,4,0.6,0.4
Saxton Oval,Nelson,New Zealand,-1.5408404910379725,291.5257763214692,282.35069747979225,10,3,7,0.3,0.7
Maharashtra Cricket Association Stadium,Pune,India,0.7814514602916971,299.8733984084356,278.6048905828451,10,5,5,0.5,0.5
Centurion Park,Centurion,South Africa,-0.35181675168106563,237.0707759312221,242.54042295749753,10,4,6,0.4,0.6
Senwes Park,Potchefstroom,South Africa,-1.330256199378461,247.92183460053946,301.1361772921018,10,2,8,0.2,0.8
Maple Leaf North-West Ground,King City,Canada,-0.9298901253292253,191.54295896646119,278.8496232382224,10,4,6,0.4,0.6
P Saravanamuttu Stadium,Colombo,Sri Lanka,0.28133529255404516,228.60396876700153,212.87184720775633,10,4,6,0.4,0.6
Rajiv Gandhi International Stadium,Hyderabad,India,0.1504699506379078,302.9710973103841,269.7404796018145,10,6,4,0.6,0.4
Keenan Stadium,Jamshedpur,India,-0.2780324774610733,259.4819008973214,252.0746246222745,9,3,6,0.3333333333333333,0.6666666666666666
Docklands Stadium,Melbourne,Australia,0.43052297956519925,241.60454305013016,210.9438019455822,9,5,4,0.5555555555555556,0.4444444444444444
Vidarbha Cricket Association Stadium,Nagpur,India,0.04685709279842194,279.78752644856775,275.0797546157385,9,3,6,0.3333333333333333,0.6666666666666666
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,-0.25506401317196736,270.58786547656246,278.2055542694737,9,4,5,0.4444444444444444,0.5555555555555556
Trust Bank Park,Hamilton,New Zealand,0.45834497970104504,237.38382248651413,219.34967673340236,9,4,5,0.4444444444444444,0.5555555555555556
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,0.6271127109408905,243.38468279157362,240.98690553630638,9,4,5,0.4444444444444444,0.5555555555555556
Takashinga Sports Club,Harare,Zimbabwe,-1.6035563987829295,246.242428734189,283.2869631604818,9,2,7,0.2222222222222222,0.7777777777777778
Nehru Stadium,Kochi,India,0.9071730332297822,269.43268694196433,227.83096353904014,9,5,4,0.5555555555555556,0.4444444444444444
Kinrara Academy Oval,Kuala Lumpur,Malaysia,0.29718433602982725,233.22118123372397,194.73711900272912,9,6,3,0.6666666666666666,0.3333333333333333
Springbok Park,Bloemfontein,South Africa,0.26447454007816806,232.1697736467634,206.70661725905063,9,5,4,0.5555555555555556,0.4444444444444444
Brabourne Stadium,Mumbai,India,0.7248623252908388,205.4834798199405,198.30675607270737,9,5,4,0.5555555555555556,0.4444444444444444
Bulawayo Athletic Club,Bulawayo,Zimbabwe,0.6870479794217191,268.4816478161807,228.305181729666,9,5,4,0.5555555555555556,0.4444444444444444
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,-1.717756949703222,264.10094866071427,322.3509562070476,8,2,6,0.25,0.75
Boland Bank Park,Paarl,South Africa,0.7684648790701317,212.58213762555803,221.2156324583468,8,4,4,0.5,0.5
Amini Park,Port Moresby,Papua New Guinea,1.6857105238348458,226.60519845145092,158.72557460239955,8,6,2,0.75,0.25
Nehru Stadium,Indore,India,-0.829425296641678,261.3597461957694,236.87103877660314,8,3,5,0.375,0.625
Nahar Singh Stadium,Faridabad,India,-0.41989939511426766,220.62744293212887,247.3446266110022,8,2,6,0.25,0.75
Jinnah Stadium,Sialkot,Pakistan,-0.24450154189476075,227.36315597085937,209.90738834636403,8,4,4,0.5,0.5
Kallang Ground,Singapore,Singapore,0.9856675845858035,280.5309343592433,241.8161744279672,8,5,3,0.625,0.375
